Provide article reading time in minutes,طرح الوقت المستغرق لقراءة المقالة بالدقائق,,,,,,
Arabic Media Caption,شرح المواد الاعلامة باللغة العربية,,,,,,
Arabic Preview Url,"عنوان ""URL"" الخاص بالعرض التمهيدي باللغة العربية",,,,,,
Media Caption,شرح المواد الاعلامة ,,,,,,
Media Type,نوع المواد الإعلامية,,,,,,
Media URL,"عنوان ""URL"" الخاص بالمواد الإعلامية",,,,,,
Preview Url,"عنوان ""URL"" الخاص بالعرض التمهيدي",,,,,,
Reading Time,الوقت المستغرق للقراءة,,,,,,
About Me,"حولنا ""التعريف بنا""",,,,,,
Arabic About Me,"حولنا ""التعريف بنا"" باللغة العربية",,,,,,
Arabic First Name,الاسم الأول باللغة العربية,,,,,,
Arabic Full Name,الاسم الكامل باللغة العربية,,,,,,
Arabic Job Title,المسمى الوظيفي باللغة العربية,,,,,,
Arabic Last Name,الاسم الأخير باللغة العربية,,,,,,
First Name,الاسم الأول,,,,,,
Full Name,الاسم بالكامل,,,,,,
Home Phone,هاتف المنزل,,,,,,
Job Title,المسمى الوظيفي,,,,,,
Email Address,عنوان البريد الإلكترونى,,,,,,
Last Name,"اسم العائلة ""اللقب""",,,,,,
End Date,تاريخ الانتهاء,,,,,,
Start Date,تاريخ البدء,,,,,,
Order to be displayed,إصدار الأمر بالعرض,,,,,,
Sequence Number,الرقم المسلسل,,,,,,
Assigned To Users,مخصص للمستخدمين,,,,,,
Page Name,اسم الصفحة,,,,,,
appdata,بيانات التطبيق,,,,,,
appfiles,ملفات التطبيق,,,,,,
Department,القسم,,,,,,
Work email,البريد الإلكتروني الخاص بالأعمال,,,,,,
Title,العنوان,,,,,,
Name,الاسم,,,,,,
Mobile phone,الهاتف الجوال,,,,,,
Office,المكتب,,,,,,
SIP Address,"عنوان بروتوكول بدء الجلسة ""SIP""",,,,,,
Picture Exchange Sync State,حالة مزامنة تبادل الصور,,,,,,
Picture Placeholder State,حالة العنصر النائب للصورة,,,,,,
Picture Timestamp,الطابع الزمني للصورة,,,,,,
Ask Me About,اسألني عن,,,,,,
User name,اسم المستخدم,,,,,,
Web site,موقع الويب,,,,,,
Work phone,الهاتف الخاص بالأعمال,,,,,,
Page Diagnostics List,قائمة تشخيص الصفحة,,,,,,
Product Name,اسم المنتج,,,,,,
This list stores run results for the Web Template Extensions feature.,تخزن هذه القائمة نتائج التشغيل لخاصية ملحقات قالب الويب.,,,,,,
Web Template Extensions,ملحقات قالب الويب,,,,,,
Recent Documents,المستندات الحديثة,,,,,,
Quick Links,روابط سريعة,,,,,,
Manage Content,إدارة المحتوى,,,,,,
More,المزيد,,,,,,
Tasmu Smart Qatar,"برنامج قطر الذكية ""تسمو""",,,,,,
Ministry of Transport and Communication,وزارة المواصلات والاتصالات,,,,,,
Transportation,وسائل المواصلات,,,,,,
Healthcare,خدمات الرعاية الصحية,,,,,,
Logistics,الخدمات اللوجستية,,,,,,
Sports,الخدمات الرياضية,,,,,,
Environment,الخدمات البيئية,,,,,,
Technology,خدمات التكنولوجيا,,,,,,
TASMU CMS,"شركة ""سي. إم. إس"" المتحالفة مع برنامج ""تسمو""",,,,,,
All Requests,جميع الطلبات,,,,,,
Pending Approvals,الاعتمادات الجارية,,,,,,
Translation Requests,طلبات الترجمة,,,,,,
History,السجل,,,,,,
Tasks List,قائمة المهام,,,,,,
Translation Tasks Content Type,نوع محتوى مهام الترجمة,,,,,,
Approval Tasks Content Type,نوع محتوى مهام الاعتماد,,,,,,
View,الرأي/ عرض,,,,,,
Compact,المدمج,,,,,,
Detailed,المفصّل,,,,,,
Action by,اتخذ الإجراء بواسطة,,,,,,
Approve,اعتماد,,,,,,
Reject,رفض,,,,,,
Start,البدء,,,,,,
Finish,الانتهاء,,,,,,
Ok,موافق,,,,,,
Cancel,إلغاء,,,,,,
Confirmation,تأكيد,,,,,,
Comments,التعليقات,,,,,,
Please make to review the content before you approve.,يُرجى مراجعة المحتوى قبل الاعتماد,,,,,,
"Search for CMS Sites (Marketplace, Sectors or Entities)","البحث عن مواقع شركة ""سي. إم. إس"" (السوق أو القطاعات أو الجهات)",,,,,,
Marketplace,السوق,,,,,,
Sectors and Entities,القطاعات والجهات,,,,,,
Welcome to CMS Global Home,"مرحبًا بكم في الصفحة الرئيسية لشركة ""سي. إم. إس جلوبال""",,,,,,
ApprovedDate,تاريخ الاعتماد,,,,,,
ApproverComments,تعليقات المعتمدون,,,,,,
ArabicMediaCaption,شرح المواد الاعلامة باللغة العربية,,,,,,
arAbout,"حول ""التعريف"" باللغة العربية",,,,,,
arAboutMe,"حولنا ""التعريف بنا"" باللغة العربية",,,,,,
arAddress,العنوان باللغة العربية,,,,,,
arAuthor,مؤلف عربي,,,,,,
ArColumnName,اسم العمود العربي,,,,,,
arFirstName,الاسم الأول باللغة العربية,,,,,,
arFullName,الاسم الكامل باللغة العربية,,,,,,
arJobTitle,المسمى الوظيفي باللغة العربية,,,,,,
arLastName,الاسم الأخير باللغة العربية,,,,,,
arLongDescription,وصف مفصّل باللغة العربية ,,,,,,
arMediaAlternateText,نص بديل لوسائل الإعلام العربية,,,,,,
arPreviewUrl,"عنوان ""URL"" الخاص بالعرض التمهيدي باللغة العربية",,,,,,
arProductLongDescription,الوصف المفصّل للمنتج باللغة العربية,,,,,,
arProductName,اسم المنتج باللغة العربية,,,,,,
arProductShortDescription,الوصف المختصر للمنتج باللغة العربية,,,,,,
arShortDescription,وصف موجز باللغة العربية,,,,,,
arSponsorName,اسم الجهة الراعية باللغة العربية ,,,,,,
arTitle,العنوان باللغة العربية,,,,,,
BusinessPhone,الهاتف الخاص بالأعمال,,,,,,
cmsactionby,"القائم على  ""نظام إدارة المحتوى""",,,,,,
cmsAddress,عنوان نظام إدارة المحتوى,,,,,,
cmsAssignedToUser,"الحقول المخصصة للمستخدمين
 في نظام إدارة المحتوى",,,,,,
cmsAuthor, المحررون في نظام إدارة المحتوى,,,,,,
cmsEndDate,تاريخ الانتهاء في نظام إدارة المحتوى,,,,,,
cmsFirstName,الاسم الأول المدرج في نظام إدارة المحتوى,,,,,,
cmsFullName,الاسم بالكامل المدرج في نظام إدارة المحتوى,,,,,,
cmsHomePhone,رقم الهاتف المسجل في نظام إدارة المحتوى,,,,,,
cmsJobTitle,"المنصب الوظيفي المسجل في نظام إدارة المحتوى
",,,,,,
cmsPublished,النشر في نظام إدارة المحتوى,,,,,,
cmsStartDate,تاريخ البدء المسجل في نظام إدارة المحتوى,,,,,,
cmsTitle,العنوان المسجل في نظام إدارة المحتوى,,,,,,
cmsUniqueId,معرف الهوية الفريد في نظام إدارة المحتوى,,,,,,
cmsversion,الإصدار في نظام إدارة المحتوى,,,,,,
cmsWebPage,"الصفحة الإلكترونية التي تُدار بنظام
 إدارة المحتوى",,,,,,
ContentStatus,حالة المحتوى,,,,,,
ContentTier,مستوى المحتوى,,,,,,
CriticalApprovers,جهات الاعتماد الأساسية,,,,,,
DatePictureTaken,تاريخ التقاط الصورة,,,,,,
EmailAddress,عنوان البريد الإلكترونى,,,,,,
EngColumnName,اسم العمود باللغة الإنجليزية,,,,,,
Enterprise Keywords_4,الكلمات الرئيسية للمرفق,,,,,,
LastChangeToken,الرمز المميز للتعديلات الأخيرة,,,,,,
LastName,"اسم العائلة ""اللقب""",,,,,,
ListId,معرف القائمة,,,,,,
ListName,اسم القائمة,,,,,,
ListNames,قائمة الأسماء,,,,,,
LongDescription,الوصف المفصّل,,,,,,
MediaAlternateText,النص البديل للوسائط,,,,,,
MediaType,نوع المواد الإعلامية,,,,,,
MediaURL,"عنوان ""URL"" الخاص بالمواد الإعلامية",,,,,,
MobileNumber,الهاتف الجوال,,,,,,
PageLayout,تصميم الصفحة,,,,,,
ParentItemId,معرف العنصر الأصل,,,,,,
ParentItemLink,رابط العنصر الأصل,,,,,,
ParentSiteUrl,محدد مواقع الموارد الموحد للموقع الأصل,,,,,,
PreviewUrl,"عنوان ""URL"" الخاص بالعرض التمهيدي",,,,,,
ProductId,معرف المنتج,,,,,,
ProductLongDescription,وصف مفصّل للمنتج,,,,,,
ProductReferenceURL,"العنوان ""URL"" المرجعي الخاص بالمنتج",,,,,,
ProductShortDescription,الوصف المختصر للمنتج,,,,,,
ReadingTime,الوقت المستغرق للقراءة,,,,,,
RelatedItem,البند ذو الصلة,,,,,,
RequiresApproval,يتطلب اعتماده,,,,,,
RequiresTranslation,يتطلب ترجمته,,,,,,
SectorArabicTitle,عنوان القطاع باللغة العربية,,,,,,
SectorID,معرف القطاع,,,,,,
SequenceNumber,الرقم المسلسل,,,,,,
ShortDescription,الوصف المختصر,,,,,,
SiteLevel,مستوى الموقع,,,,,,
SiteURL,URL الموقع,,,,,,
SponsorPicture,صورة الراعي,,,,,,
TaskComments,التعليقات المُبداة على المهمة,,,,,,
TASMUTaskStatus,"حالة المهمة في برنامج ""تسمو""",,,,,,
TASMUTaskStatusInternal,"حالة المهمة في برنامج ""تسمو"": داخلية",,,,,,
TextType,نوع النص,,,,,,
ThumbnailImage,الصورة المصغرة,,,,,,
Product_x003a_arProductName,اسم المنتج باللغة العربية,,,,,,
Product_x003a_arProductShortDescription,الوصف المختصر للمنتج باللغة العربية,,,,,,
Product_x003a_ProductId,معرف المنتج,,,,,,
Product_x003a_ProductShortDescription,الوصف المختصر للمنتج,,,,,,
ProductName,اسم المنتج,,,,,,
Product Media Assets,الأصول الرقمية للمنتج,,,,,,
TASMU Product Media Assets,"الأصول الرقمية لمنتجات برنامج ""تسمو""",,,,,,
ProductName_x003A_Arabic_x0020_Product_x0020_Name,اسم المنتج باللغة العربية,,,,,,
ProductName_x003A_Arabic_x0020_Product_x0020_Short_x0020_Description,الوصف المختصر للمنتج باللغة العربية,,,,,,
ProductName_x003A_Product_x0020_Id,معرف المنتج,,,,,,
ProductName_x003A_Product_x0020_Short_x0020_Description,الوصف المختصر للمنتج,,,,,,
Version,الإصدار,,,,,,
Author,المؤلف,,,,,,
Arabic Author,كاتب عربي,,,,,,
TASMU Changelog,"سجل التعديلات في برنامج ""تسمو""",,,,,,
TASMU Configuration,"إعدادات برنامج ""تسمو""",,,,,,
TASMU Contact Information,"معلومات الاتصال في برنامج ""تسمو""",,,,,,
TASMU Translate Config,"إعدادت الترجمة في برنامج ""تسمو""",,,,,,
Tax Catch All,الضرائب الشاملة,,,,,,
CMS Home,الصفحة الرئيسية بنظام إدارة المحتوى,,,,,,
Welcome to TASMU CMS,"مرحباً بكم في نظام إدارة متحوى برنامج ""تسمو""",,,,,,
